PublicationId,authors,topics,publication_year,Doi
300648187762,"['id:51540165879, name:L. Bosisio' 'id:1520419039372, name:C. Irmler'
 'id:1340030381809, name:R. Thalmeier'
 'id:171799290927, name:M. De Nuccio' 'id:197569102908, name:P. Kvasnička'
 'id:120259680919, name:G. Batignani'
 'id:309238213162, name:Debashis Sahoo'
 'id:1039382675503, name:Belle-II SVD Collaboration'
 'id:807454379929, name:Hiroaki Aihara'
 'id:360777843194, name:G.N. Taylor' 'id:747324904932, name:G. Rizzo'
 'id:1073742338742, name:P. Mammini' 'id:1073742364278, name:T. Lueck'
 'id:1529008897114, name:F. Buchsteiner'
 'id:1322850519912, name:A. Martini' 'id:300648222281, name:M. Ceccanti'
 'id:919123574523, name:T. Bilka' 'id:1202591383791, name:M. Friedl'
 'id:1623498136106, name:M. Kaleta' 'id:446677141211, name:V. Bertacchi'
 'id:77309904984, name:L. Zani' 'id:1022202736071, name:Y. Onuki'
 'id:738734879708, name:F. Forti' 'id:231928734231, name:S Watanuki'
 'id:343597918395, name:T. Higuchi' 'id:781684658172, name:S.N. Mayekar'
 'id:34360310694, name:Filippo Bosi' 'id:1305670675315, name:L. Vitale'
 'id:420907380416, name:Rajeev Kumar' 'id:1640678070519, name:G. Casarosa'
 'id:51540176435, name:H. Tanigawa' 'id:523986578174, name:C. Schwanda'
 'id:1082332304728, name:C. Joo' 'id:670015494008, name:N. Dash'
 'id:249108666668, name:S. Bettarini' 'id:206158947938, name:H. Yin'
 'id:541166390804, name:T. Morii' 'id:17180438336, name:Waclaw Ostrowicz'
 'id:1606318263252, name:Z. Natkaniec' 'id:1151051732647, name:E. Paoloni'
 'id:678605426084, name:S. Bacher' 'id:1185411466862, name:L Lanceri'
 'id:446677106364, name:M. Rozanska'
 'id:1133871916904, name:J. Wiechczynski']",[121332964 111919701],2020,10.1016/J.NIMA.2019.162706
309238075974,"['id:790274558724, name:Marc Hauser' 'id:721555126163, name:C. Lacasta'
 'id:463857057299, name:C. García' 'id:1279900832890, name:S. Kühn'
 'id:627065791804, name:Yoshinobu Unno'
 'id:1279900868211, name:A.A. Affolder']",[ 49040817 121332964],2019,10.1016/J.NIMA.2018.10.014
317827829236,"['id:987842971362, name:Z. Galloway' 'id:1133871863960, name:S.D. Worm'
 'id:335007990736, name:I. Mandić']",[121332964 119599485],2016,10.1088/1748-0221/11/02/C02005
326417650579,"['id:85899929381, name:J. Winter' 'id:1236951107143, name:B. Caccianiga'
 'id:420907385456, name:E. V. Unzhakov'
 'id:1503239104746, name:G. Bellini' 'id:1022202726879, name:G Testera'
 'id:154619354073, name:L. Papp' 'id:1151051821582, name:S Weinz'
 'id:309238242577, name:D. Bravo' 'id:274878403236, name:F. Gabriele'
 'id:429497297157, name:S. Appel' 'id:730145054695, name:G. Lukyanchenko'
 'id:120259663826, name:S Davini' 'id:1511829068521, name:B. Lehnert'
 'id:1073742338600, name:S Zavatarelli' 'id:833224193028, name:M Toropova'
 'id:1030792675995, name:S. Marcocci'
 'id:1099512199704, name:R. Tartaglia'
 'id:137439485359, name:Zachary W. Yokley'
 'id:60130057840, name:F. von Feilitzsch'
 'id:1056562490948, name:I. S. Drachnev'
 'id:764504738157, name:B. Neumair']",[121332964 185544564 109214941],2016,10.1134/S106377961606023X
335007713309,"['id:1477469340278, name:R G H Robertson'
 'id:1219771280085, name:F. T. Avignone'
 'id:730144966089, name:R. Henning' 'id:1443109554573, name:J. Rager'
 'id:1305670564374, name:I S Guinn' 'id:970663200381, name:J.F. Wilkerson'
 'id:446677101812, name:Isaac J. Arnquist'
 'id:1305670640363, name:Susanne Mertens'
 'id:1374390031044, name:Richard Kouzes'
 'id:326418083625, name:T. Gilliss']",[121332964 185544564 109214941],2015,10.1142/S0217751X1530032X
335007867416,"['id:1563368658745, name:T Strub' 'id:919123554216, name:M. Dieterle'
 'id:498216822985, name:N.K. Walford' 'id:635655737196, name:S. J. D. Kay'
 'id:1614908271638, name:V. Lisin' 'id:309238158932, name:Garth M. Huber'
 'id:1142461917942, name:I. Supek' 'id:1614908240422, name:A. Polonski'
 'id:764504729626, name:E. Downie' 'id:1529008929435, name:D I Glazier'
 'id:1279900841826, name:M. Oberle' 'id:292058333867, name:Simon Gardner'
 'id:601295990618, name:C. B. Hamill' 'id:94489777427, name:A. Neiser'
 'id:858994021614, name:D P Watts' 'id:833224177629, name:P P Martel'
 'id:841814156062, name:R. Kondratiev' 'id:111669734024, name:D Paudyal'
 'id:678605427926, name:F. Afzal' 'id:721555108563, name:S. N. Prakhov'
 'id:352187892748, name:M.I. Ferretti Bondy']",[121332964 109214941],2018,10.1103/PHYSREVC.97.055212
343597588154,"['id:163209302931, name:Flávia A. Maia'
 'id:489626845741, name:Silmara A. Diniz'
 'id:1005022913578, name:Marinã R. Amaral']",[149923435  86803240],2015,10.1016/J.FSIGSS.2015.09.244
352187765675,"['id:429497316685, name:M. Lettmann' 'id:489626828750, name:F. Château'
 'id:395137513250, name:Y. Shiga' 'id:1468879311967, name:S. Momiyama'
 'id:25770396873, name:V. Lapoux' 'id:1133871876862, name:J.-Y. Roussé']",[121332964 184779094],2019,10.1038/S41586-019-1155-X
369367614778,"['id:541166405227, name:Moritz Wiehe' 'id:1099512124753, name:C. Solaz'
 'id:721555126163, name:C. Lacasta' 'id:1279900868211, name:A.A. Affolder'
 'id:1159641696630, name:C. Garcia Argos']",[121332964  24890656],2019,10.1016/J.NIMA.2018.09.082
377957547232,"['id:51540165879, name:L. Bosisio' 'id:1520419039372, name:C. Irmler'
 'id:1340030381809, name:R. Thalmeier'
 'id:171799290927, name:M. De Nuccio' 'id:120259680919, name:G. Batignani'
 'id:747324904932, name:G. Rizzo' 'id:807454379929, name:Hiroaki Aihara'
 'id:360777843194, name:G.N. Taylor' 'id:1073742364278, name:T. Lueck'
 'id:1529008897114, name:F. Buchsteiner'
 'id:1322850519912, name:A. Martini' 'id:1623498136106, name:M. Kaleta'
 'id:446677141211, name:V. Bertacchi' 'id:77309904984, name:L. Zani'
 'id:738734879708, name:F. Forti' 'id:343597918395, name:T. Higuchi'
 'id:781684658172, name:S.N. Mayekar' 'id:1305670675315, name:L. Vitale'
 'id:420907380416, name:Rajeev Kumar' 'id:1640678070519, name:G. Casarosa'
 'id:51540176435, name:H. Tanigawa' 'id:1082332304728, name:C. Joo'
 'id:670015494008, name:N. Dash' 'id:249108666668, name:S. Bettarini'
 'id:541166390804, name:T. Morii' 'id:17180438336, name:Waclaw Ostrowicz'
 'id:1606318263252, name:Z. Natkaniec' 'id:1151051732647, name:E. Paoloni'
 'id:678605426084, name:S. Bacher' 'id:1185411466862, name:L Lanceri'
 'id:446677106364, name:M. Rozanska'
 'id:1133871916904, name:J. Wiechczynski']",[121332964 120665830],2019,10.1016/J.NIMA.2018.08.066
